Line 1,Line 2,Converged,Bus Voltages,Line Loadings
"(0, 1)","(0, 38)",True,"[nan, 1.0470984755759538, 1.0287450950238293, 1.0035872045535104, 1.0054452169434087, 1.0077584034751437, 0.9975829846414523, 0.9969291586461536, 1.0372170797595324, 1.0174445216697308, 1.0128918693256386, 1.0003680845334655, 1.01455127415684, 1.011798681187176, 1.015374107629928, 1.031767470794884, 1.033043954767293, 1.0301032072580107, 1.0498299153394197, 0.9908594739873172, 1.0317893062351406, 1.049859005547696, 1.0448513988589212, 1.0373148647809391, 1.0553033210730107, 1.0507920724357165, 1.036678327965321, 1.049458075807647, 1.04948678195385, 1.0499, 0.982, 0.9841, 0.9972, 1.0123000000000002, 1.0494000000000003, 1.0635999999999997, 1.0275, 1.0265, 1.03]","[nan, nan, 90.65245335150077, 43.299777559512904, 39.00009046258987, 5.542897300662091, 14.143821937129427, 52.78995571759676, 39.36886199509513, 43.463054554211695, 54.11552766758643, 79.39390822867293, 27.459871553220026, 19.418516949885717, 14.695383426274445, 64.05496335518758, 44.44412300324015, 42.23667789283185, 5.817048637981011, 58.69819107914152, 27.858345212098012, 73.4702240181474, 53.53784500176523, 17.32873896139756, 29.174335070939534, 6.342818954302796, 65.78973559616463, 11.993406484748462, 56.445256328125026, 59.45136297033326, 16.64000476678189, 48.418236093353066, 24.09342193666016, 32.24421205330301, 55.7705061271513]"
"(0, 1)","(1, 2)",True,"[1.0276593166370516, 1.063612196751277, 0.9867124401112674, 0.9786952723370625, 0.9874221360818016, 0.9910750573357103, 0.9804416888416675, 0.9797686841865576, 1.0284546172318558, 1.003073312888188, 0.9976385671982976, 0.9842491586909025, 0.9983955356492807, 0.9914013076602092, 0.9948785563647521, 1.0121855920549327, 1.0025280480339716, 0.9940919254094372, 1.0426279989877707, 0.9869291987886153, 1.0180014358722933, 1.0424753586733144, 1.037209046276239, 1.019466306486275, 1.0413559138981028, 1.0195449684501365, 1.0006021635516305, 1.0332819561163755, 1.0383891032834898, 1.0499000000000003, 0.982, 0.9841, 0.9971999999999998, 1.0123, 1.0494000000000003, 1.0636, 1.0275000000000003, 1.0265, 1.03]","[0.0, 10.425824995353286, 0.0, 49.409243519047756, 12.137933499804491, 73.34897250514399, 23.28780459623625, 71.25708937693923, 47.51879415085721, 49.23496050321724, 60.967560039757714, 84.18260458149608, 33.97602015000611, 29.563002942337114, 23.215026138253695, 67.8838156324216, 44.64154201518132, 41.46223230958312, 17.429416549368014, 74.50763716671311, 21.733666222782723, 76.76006549829901, 54.45845272562011, 21.930105662257134, 87.70214026175933, 75.96457591183606, 67.52980680064724, 12.385637034649129, 57.60632841735198, 60.09072659732433, 90.035263200561, 122.54186924282723, 24.631676543207224, 32.34917796807276, 56.13213468541368]"
"(0, 1)","(1, 24)",True,"[1.0276593166370516, 1.0523494171161103, 1.0296398140716783, 1.001552913712822, 1.0021417360685563, 1.0044551949944247, 0.9937407310090567, 0.9929284204716746, 1.033896623806532, 1.0151791549946896, 1.0102632346020932, 0.9978278613643392, 1.0122296921727967, 1.009371353858298, 1.0125608707360478, 1.0290562930560498, 1.0287906155106241, 1.0275164011102365, 1.0488328486028633, 0.9903153809606454, 1.0298808466072207, 1.048837071583146, 1.0437936467504791, 1.0348436975021398, 1.0406568486072603, 1.039086154150389, 1.0267572031770271, 1.043399359260398, 1.04533024689218, 1.0499, 0.982, 0.9841000000000001, 0.9972, 1.0123000000000004, 1.0494000000000003, 1.0636000000000003, 1.0275, 1.0265000000000002, 1.03]","[0.0, 10.425824995353262, 55.79062226242827, 0.0, 34.61653120074861, 36.248486750649015, 15.622892353417289, 60.207372264695955, 44.31343544743464, 49.034793737157905, 59.88332179171388, 81.43423446003213, 33.1871617463629, 27.974575816524876, 22.921943223898538, 65.64452127848702, 43.41095705585653, 41.03099818907894, 9.668424135215663, 65.56187020724707, 19.90117711874139, 73.84504372081997, 53.56354522339698, 17.95714314758884, 55.222463059440166, 36.18599015932716, 66.00946455316041, 12.047470066696507, 56.582104095876126, 59.530363625646245, 50.74363746191041, 81.35441670912887, 23.589337131015856, 31.734691758584717, 55.82622458993883]"
"(0, 1)","(2, 3)",True,"[1.0276593166370516, 1.0546371104579668, 1.044919610323571, 0.9759486944611812, 0.9864241105837951, 0.9903871099136015, 0.9796750281009154, 0.9789679630549639, 1.0281234394094698, 1.003507110417861, 0.9976864003174422, 0.9847358543872017, 0.9993010695235959, 0.9934506442294435, 1.0082054809222358, 1.0305158102891938, 1.0367625085729986, 1.0386370814625332, 1.0493696052626114, 0.9906082869399485, 1.0309082543139916, 1.0493872266922661, 1.0443630839833427, 1.0361740101222572, 1.0592073078234607, 1.053336051066526, 1.03963934321909, 1.0507745877235422, 1.050389954154454, 1.0499000000000005, 0.982, 0.9841000000000001, 0.9971999999999999, 1.0123, 1.0494000000000003, 1.0636, 1.0275000000000003, 1.0265000000000002, 1.03]","[0.0, 10.425824995353288, 82.15654967831938, 39.183300577974364, 0.0, 22.65168793489096, 24.434909412931873, 80.84571314607373, 47.70583600602457, 49.258258358481505, 61.02936193721732, 88.52862864168148, 34.002407808015235, 29.66313831078769, 23.271258090404405, 71.09527623837022, 41.249913094305974, 37.82079048747479, 29.30026204632362, 85.57814654689552, 13.127765465674003, 73.63992020369416, 53.5473674728825, 17.618420950246893, 10.102413818033755, 8.249108480163263, 65.89031158997767, 12.018355916552771, 56.50746274395328, 59.48745137393888, 21.38544012397741, 52.85722755934529, 24.224012209480396, 32.37105363275365, 55.769118099949225]"
"(0, 1)","(2, 17)",True,"[1.0276593166370516, 1.0447831407025585, 1.0237696150311462, 0.9994689267729611, 1.0010364354385524, 1.0035089693139552, 0.9927801490793898, 0.9919655830983888, 1.0334985108126185, 1.0145225442868189, 1.0095182014770216, 0.9970915399996508, 1.011537881482969, 1.008635009636015, 1.013662856807214, 1.0307610790966142, 1.032092123006002, 1.0291086309796662, 1.0494598055793298, 0.9906575086404059, 1.031080903365201, 1.0494796758968234, 1.044458773501837, 1.0363975661370308, 1.0541102892792624, 1.0500738399460077, 1.035887056219913, 1.0490863772389603, 1.0492317833466887, 1.0498999999999996, 0.982, 0.9840999999999998, 0.9972, 1.0123, 1.0494000000000003, 1.0636, 1.0275, 1.0265, 1.03]","[0.0, 10.42582499535318, 93.46824137060874, 44.698901222683304, 36.98415132597458, 0.0, 14.1813548520341, 55.33399173898157, 43.69451332725014, 49.16095332351517, 59.84812906255941, 79.92419174788813, 33.123242186151366, 28.086930764226313, 22.866713064150684, 64.5999964137868, 44.63349732260111, 42.38378124198829, 7.173601179254904, 60.801241174744646, 26.17510605552328, 73.60621393494293, 53.54518485887508, 17.561596799729106, 26.045660463829968, 6.421376343771504, 65.8704860481819, 12.013465613455399, 56.4951416073596, 59.48032781188205, 15.197528185181744, 47.05878388241002, 24.057883763290036, 32.20942610558637, 55.7715910587221]"
"(0, 1)","(3, 4)",True,"[1.0276593166370516, 1.045700556921484, 1.0257686197334053, 0.9976235811103537, 1.0022303318388497, 1.0045354610023138, 0.9938337529709192, 0.9930108710960746, 1.0339307150181698, 1.0144738851860822, 1.0099119169428319, 0.9970369730311778, 1.0110328642832678, 1.0072914349877258, 1.0128104686752972, 1.030050580210271, 1.0310924127539602, 1.027744256256244, 1.049198511447992, 0.9905149220763597, 1.0305807669674976, 1.0492118649413307, 1.0441815759422983, 1.0357499650657807, 1.054356537669668, 1.0496938903984965, 1.0351842653117351, 1.0488897441200513, 1.049096885823617, 1.0499000000000005, 0.982, 0.9841000000000001, 0.9971999999999998, 1.0123, 1.0494, 1.0635999999999999, 1.0275000000000003, 1.0265, 1.03]","[0.0, 10.425824995353262, 91.75546679133821, 43.580283634506834, 42.613445084860324, 7.464927034675949, 0.0, 67.3830015905984, 37.3520318083456, 49.9863811227053, 58.92645927417569, 62.54328939050373, 32.206970247445255, 27.96498444416844, 22.92673035907952, 52.09749516203562, 57.29592778545825, 56.36840881771349, 7.532106536140969, 57.765263472741644, 29.795393703385802, 73.70446016804252, 53.551931310386735, 17.72628399730656, 30.893356294282427, 6.715891270972183, 65.92807359106985, 12.027633724519566, 56.53100946051154, 59.501032864657, 16.311075066081, 48.221562221064005, 24.039322644851655, 32.19120762239853, 55.77228842037357]"
"(0, 1)","(3, 13)",True,"[1.0276593166370516, 1.0436387332397423, 1.0216299134138471, 0.9884952646530312, 0.9954713699389508, 0.9990546102147518, 0.988099825816928, 0.9872358003554543, 1.03154272352222, 1.0154637146001697, 1.008470074049651, 0.9981469595067589, 1.0147138258969024, 1.0171752038819646, 1.0169039732385383, 1.0313656963993916, 1.0306632111437886, 1.0258084614285903, 1.0496821594597454, 0.9907788451931362, 1.0315064984417843, 1.049707570410373, 1.044694655777183, 1.036948658487603, 1.053631351332523, 1.0494340475924349, 1.0349138569070353, 1.0487552682731875, 1.0490046304181888, 1.0499000000000003, 0.982, 0.9841000000000001, 0.9971999999999999, 1.0123, 1.0494, 1.0636, 1.0275, 1.0265, 1.0299999999999998]","[0.0, 10.42582499535318, 95.55289059182411, 46.32866378303079, 57.93402035455981, 19.701021916518332, 43.06279058700556, 0.0, 56.90004965221173, 47.553841948015766, 61.90621676689398, 115.29943941531687, 35.07286045896725, 28.647984319758823, 22.728816212861393, 90.42044007229293, 18.686394229102817, 16.05322994638529, 15.048462869474735, 44.42847342099326, 42.48818068042462, 73.52406727893704, 53.54046358042454, 17.42164177409221, 41.63269139859363, 7.116201466589003, 65.82185756353479, 12.001413219503245, 56.46504216840159, 59.46287532959339, 13.948652137691322, 45.86269788488375, 24.026724331721987, 32.17882148762646, 55.77281451386524]"
"(0, 1)","(4, 5)",True,"[1.0276593166370516, 1.0444040489172404, 1.0230257092874226, 0.9921770676021205, 0.9890729577917317, 1.0035577597266458, 0.9873094620800764, 0.9848172781192621, 1.030542574300458, 1.012511271399309, 1.0083323404764, 0.9948359800289007, 1.0083418961874664, 1.0032736272705651, 1.0105112198035533, 1.0284957510679644, 1.0293076868955382, 1.0255758795099452, 1.0486267003534802, 0.9902028858665307, 1.0294862478877123, 1.0486257703578143, 1.0435749400211503, 1.0343327771890596, 1.0534987860614453, 1.0486982896186514, 1.0338247701759762, 1.0483744892524003, 1.0487434017125346, 1.0499000000000003, 0.982, 0.9841, 0.9972000000000001, 1.0123, 1.0494000000000003, 1.0635999999999997, 1.0275, 1.0265, 1.03]","[0.0, 10.425824995353198, 92.88674956228957, 43.94152469928923, 46.27208017361759, 9.575162108380479, 16.117965328161507, 83.60037262342112, 0.0, 11.256789796512598, 98.96978622708595, 43.53755257440141, 72.16661018213344, 28.94054198775773, 22.878617150095522, 38.616907168370425, 71.65646893656287, 72.10769716788842, 9.60010077067212, 56.63886409833645, 31.97514391522922, 73.92588431112983, 53.571209222037005, 18.08748877289871, 32.78496297384237, 7.091719417883348, 66.05576085567183, 12.058657765010004, 56.611371364491035, 59.54708190512032, 15.942832268025267, 47.975019009582624, 23.991473119365757, 32.14407298643375, 55.77452085650819]"
"(0, 1)","(4, 7)",True,"[1.0276593166370516, 1.045954397202313, 1.0262241105137015, 0.9984167125781248, 0.9983740943548306, 0.9981949545101221, 0.9777093478294262, 0.9736156408831003, 1.025909564941975, 1.0117160684022142, 1.005855428187105, 0.9939441405916799, 1.0090700020038257, 1.0070620721576626, 1.01272404163153, 1.0300827923200904, 1.031250864075196, 1.028028329158837, 1.049210357801465, 0.9905213865362744, 1.030603442044714, 1.0492240069289331, 1.0441941434945718, 1.03577932556703, 1.0544123682998956, 1.0497408218058215, 1.0352697185938942, 1.0489140323419441, 1.0491135484369416, 1.0499, 0.982, 0.9840999999999995, 0.9972000000000002, 1.0123000000000002, 1.0494000000000003, 1.0636000000000003, 1.0275000000000003, 1.0265, 1.03]","[0.0, 10.42582499535324, 91.13389361224789, 43.047862294769814, 40.27076260651216, 5.787149540073995, 17.279597688971958, 50.069847948719215, 8.691205301611554, 0.0, 110.8248307766581, 84.70609575405467, 83.5707231379224, 30.341954814572713, 23.666693914119588, 68.29250643364465, 41.74446154709146, 39.30412565877827, 7.414449273926012, 59.91565044507649, 27.430296754441198, 73.69996597150396, 53.5515974441453, 17.718812388765564, 28.96569447070272, 6.708987111102322, 65.92545239414332, 12.026991261256637, 56.529371705216626, 59.50008956911872, 16.7389341610375, 48.645051703620425, 24.041606357285616, 32.193451092247436, 55.7721976652927]"
"(0, 1)","(5, 6)",True,"[1.0276593166370516, 1.0450198447443344, 1.0242169026231787, 0.9942910049442181, 0.9917020878719379, 0.9981280625493257, 0.9634284768778412, 0.9682975731686568, 1.0237095844663706, 1.010787108774097, 1.0052584905849298, 0.9929022524475105, 1.0076283443388483, 1.0044949535540204, 1.0112151826450313, 1.0290349377058532, 1.0300063741423853, 1.0264831491656734, 1.0488249948010016, 0.9903110951139507, 1.0298658134340835, 1.0488290215770177, 1.0437853146128737, 1.0348242326267802, 1.053774416879396, 1.0490255738637275, 1.0343081208956173, 1.04854387035199, 1.0488596035441609, 1.0499000000000003, 0.982, 0.9840999999999998, 0.9972, 1.0123000000000002, 1.0494000000000003, 1.0636, 1.0275, 1.0265, 1.03]","[0.0, 10.425824995353336, 91.85707318441368, 43.19315709265826, 42.62230526626573, 6.941140402637924, 10.43839233539643, 58.7207956093755, 87.41926472772775, 111.32328139517824, 0.0, 74.68631012778177, 28.65137584496282, 31.031996967267816, 24.092107999864286, 61.07680458182851, 49.26047758849608, 47.46913977212168, 8.226519402188943, 59.37360405419384, 28.528301691764756, 73.84810266497882, 53.56382246867848, 17.962106454495128, 29.988673090444056, 6.9376818555334205, 66.01122292226664, 12.047896229385852, 56.58321302375623, 59.530998143036875, 16.547142244547402, 48.54141718860574, 24.007076743616576, 32.15947093659422, 55.773722292694536]"
